# name  va  size (bytes, hex) - bounds from osdsys_dump.idb (python-idb query
# against osdsys_dump.idb, cross-checked against docs/osdsys-map.md 3.3/3.4/1.4)
transportOpenReadClose	0x203220 0x94
readConfigReal		0x203390 0x64
writeConfigReal		0x2033f8 0x64
osdWriteConfig		0x203570 0x5c
osdReadConfig		0x2035d0 0x84
getSpdif		0x203658 0x10
setSpdif		0x203668 0x24
getScreenType		0x203690 0x1c
setScreenType		0x2036b0 0x48
getVideoOutput		0x2036f8 0x14
setVideoOutput		0x203710 0x24
getLanguage		0x203738 0x80
setLanguage		0x2037b8 0x90
getTzOffset		0x203848 0x14
setTzOffset		0x203860 0x30
getTzIndex		0x203890 0x30
setTzIndex		0x2038c0 0x64
getDst			0x203928 0x14
setDst			0x203940 0x28
getNotation12h		0x203968 0x14
setNotation12h		0x203980 0x28
getDateNotation		0x2039a8 0x18
setDateNotation		0x2039c0 0x4c
osdRegisterModule	0x204408 0x44
appendModule		0x204450 0xdc
osdRegisterAllModules	0x2051a8 0x50
