# Module U high-level menu logic.  name  va  size (hex).
# Bounds from osdsys_dump.idb; see docs/menu-logic.md.
setLegendFlagA		0x21d748 0x8
setLegendFlagB		0x21d750 0x8
setLegendArrows		0x21d758 0xc
getCurPage		0x221908 0x8
pageResetScroll		0x2219d0 0xc
clearCurPage		0x221b68 0x8
getClockAnim		0x223790 0xc
getWizardAnim		0x224d68 0xc
getPageIndex		0x226948 0x8
isSysCfgOpen		0x226a48 0x14
anmTimer		0x22ac18 0x8
anmScaled		0x22ac20 0x24
anmIsState		0x22ac48 0x10
anmDirty		0x22ac58 0x8
anmReset		0x22ac60 0x10
anmFadeIn		0x22ac70 0x20
anmFadeOut		0x22ac90 0x30
anmTick			0x22acc0 0x64
getFadeAlpha		0x22ad28 0x8
getFadeMode		0x22ad30 0x8
uiModelField		0x22b0e8 0x14
modelFreeze		0x22b100 0x8
modelInvalidate		0x22b108 0x10
modelThaw		0x22b118 0xc
modelReload		0x22b128 0xc
popupScaled		0x21f980 0x24
popupClose		0x21fa18 0x4c
pageClose		0x221b70 0x64
pageCursorDown		0x221bd8 0x60
pageCursorUp		0x221c38 0x5c
pageEnter		0x221c98 0x38
pageSquare		0x221d40 0x38
pageItemCursorHook	0x222798 0x44
pageItemChanged		0x2228b0 0x40
pageItemInit		0x2228f0 0x30
screenPageTick		0x2283d0 0x20
