# name  va  size (bytes, hex) - bounds from osdsys_dump.idb
# Module U 2D/UI draw layer; reversing notes in docs/menu-draw.md
setCamTarget		0x21ce40 0x14
getButtonOverride	0x21d740 0x8
setButtonOverride	0x21d748 0x8
setButtonOverrideAlpha	0x21d750 0x8
setButtonOverrideExtra	0x21d758 0xc
drawTextL		0x21dc28 0x5c
drawTextC		0x21dc88 0xa0
drawTextR		0x21dd28 0x94
getTransitionPhase	0x226948 0x8
screenIsOne		0x226a48 0x14
initBgTimer		0x2287b0 0x20
tickFrameCounter	0x2287d0 0x10
bgTimerOpen		0x2291e8 0x44
bgTimerClose		0x229230 0x44
bgFadeUpdate		0x229278 0x54
setTexCOffset		0x229750 0x50
getTexC			0x2297a0 0x18
getTexCOffset		0x2297b8 0x18
gsVramAlloc		0x2297d0 0x18
drawSprite		0x2299c0 0x58
timerGetDuration	0x22ac10 0x8
timerGetCount		0x22ac18 0x8
timerScale		0x22ac20 0x24
timerIsState		0x22ac48 0x10
timerGetEdge		0x22ac58 0x8
timerReset		0x22ac60 0x10
timerOpen		0x22ac70 0x20
timerClose		0x22ac90 0x30
timerStep		0x22acc0 0x64
getFadeCount		0x22ad28 0x8
getFadeState		0x22ad30 0x8
transTimerOpen		0x22ae80 0x44
transTimerClose		0x22aec8 0x44
getUiModel		0x22b0e8 0x14
reloadUiModel		0x22b128 0xc
clearPadState		0x22be18 0x14
drawLetterbox		0x21d368 0x38
drawEdgeStrip		0x21db18 0x84
initTexC		0x229698 0xb8
drawFadeCurtain		0x22afb8 0x68
transStep		0x22b020 0x38
fadeStep		0x22b058 0x90
drawFullScreenBlit	0x22c190 0x94
