# small1.c - m-leaf batch 1.  name va size (hex).
thunk_21E3B0	0x21e3b0 0x8
thunk_21F150	0x21f150 0x8
nullsub_21F158	0x21f158 0x8
nullsub_21F160	0x21f160 0x8
nullsub_220798	0x220798 0x8
clr_21EE50	0x21ee50 0x28
step_2202C8	0x2202c8 0x30
step_2217A8	0x2217a8 0x30
close_223680	0x223680 0x34
reset_225CF0	0x225cf0 0x28
depth_225D18	0x225d18 0x28
idle_226950	0x226950 0x2c
step_226FA8	0x226fa8 0x28
step_227DE8	0x227de8 0x30
step_2283A0	0x2283a0 0x30
push_229A18	0x229a18 0x30
push_229A48	0x229a48 0x24
clamp_229A70	0x229a70 0x34
bcd_22B270	0x22b270 0x38
clear_22FE88	0x22fe88 0x34
chk_21EC98	0x21ec98 0x40
chk_21ECD8	0x21ecd8 0x40
fetch_224FF0	0x224ff0 0x44
open_226B28	0x226b28 0x44
close_226B70	0x226b70 0x44
open_227F08	0x227f08 0x44
arm_2272F0	0x2272f0 0x44
